code;name;description
1;Materias básicas;ssssss
2;Complementario;ssssss
3;Ingeniería de computadores;ssssss
4;Ingeniería del software;ssssss
5;Materias comunes a la rama de la informática;ssssss
6;Optativo;ssssss
7;Tecnología específica: Computación;ssssss
8;Tecnología específica: Tecnologías de la información;ssssss
9;Trabajo de fin de grado;ssssss
10;Dirección y gestión;ssssss
11;Tecnologías informáticas;ssssss
12;Complementos de ingeniería informática;ssssss
13;Trabajo fin de máster;ssssss
